Longitude,Latitude,GrainMassFlow,GPSTime,CycleDuration,TravelSpeed,SwathWidth,GrainMoisture,Header,Pass,Field,Load,LoadNumber,Crop,GPSStatus,PDOP,Altitude
-85.162887,40.264947,13.46,485924,1,59,15,16.4,Down,1,0,End Rows,1,Corn,2,3.2,300
-85.162922,40.264947,12.92,485926,1,59,15,16.6,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162940,40.264947,12.46,485927,1,59,15,16.6,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162958,40.264948,12.34,485928,1,59,15,16.9,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162973,40.264948,12.31,485929,1,58,15,17.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162992,40.264950,12.02,485930,1,56,15,16.7,Down,1,0,End Rows,1,Corn,2,3.2,300
-85.163007,40.264950,11.56,485931,1,48,15,17.1,Down,1,0,End Rows,1,Corn,2,3.2,300
-85.163017,40.264952,12.58,485932,1,38,15,17.4,Down,1,0,End Rows,1,Corn,2,3.2,300
-85.163025,40.264952,12.25,485933,1,29,15,17.3,Down,1,0,End Rows,1,Corn,2,3.2,300
-85.163032,40.264952,12.32,485934,1,23,15,17.0,Down,1,0,End Rows,1,Corn,2,3.2,300
-85.163037,40.264952,12.65,485935,1,16,15,17.0,Down,1,0,End Rows,1,Corn,2,3.2,300
-85.163040,40.264952,12.85,485936,1,9,15,16.8,Down,1,0,End Rows,1,Corn,2,3.2,300
-85.163035,40.264952,13.42,485937,1,0,15,16.7,Up,1,0,End Rows,1,Corn,2,3.2,300
-85.163037,40.264952,13.60,485938,1,0,15,17.0,Up,1,0,End Rows,1,Corn,2,3.2,301
-85.163037,40.264952,14.53,485939,1,0,15,17.0,Up,1,0,End Rows,1,Corn,2,3.2,301
-85.163037,40.264952,11.63,485940,1,0,15,17.4,Up,1,0,End Rows,1,Corn,2,3.2,301
-85.163033,40.264948,11.98,485941,1,0,15,16.9,Up,1,0,End Rows,1,Corn,2,3.2,302
-85.163028,40.264948,11.18,485942,1,0,15,17.0,Up,1,0,End Rows,1,Corn,2,3.2,303
