#Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Swth Wdth(ft),Yld Vol(Dry)(bu/ac),Mark ID,Yld Mass(Wet)(lb/ac),Moisture(%),Desc,Hding Veh(deg)
Longitude,Latitude,Field,Dataset,Product,ObjId,Distance,Swath,Yield,MarkID,YldMassWet,Moisture,Desc,Heading
-97.59129358,44.09570120,Stevens East,Stevens East-Corn,A,77,4.557,5.000,223.12,115,12743,16.66,10/12/2015 4:45:24 PM,358.62
-97.59127454,44.09570130,Stevens East,Stevens East-Corn,A,78,4.557,5.000,223.12,116,12743,16.66,10/12/2015 4:45:24 PM,358.62
-97.59137031,44.09571327,Stevens East,Stevens East-Corn,A,79,4.590,5.000,226.75,111,12777,15.53,10/12/2015 4:45:25 PM,358.41
-97.59135128,44.09571341,Stevens East,Stevens East-Corn,A,80,4.590,5.000,226.75,112,12777,15.53,10/12/2015 4:45:25 PM,358.41
-97.59133224,44.09571356,Stevens East,Stevens East-Corn,A,81,4.590,5.000,226.75,113,12777,15.53,10/12/2015 4:45:25 PM,358.41
-97.59131321,44.09571370,Stevens East,Stevens East-Corn,A,82,4.590,5.000,226.75,114,12777,15.53,10/12/2015 4:45:25 PM,358.41
-97.59129417,44.09571385,Stevens East,Stevens East-Corn,A,83,4.590,5.000,226.75,115,12777,15.53,10/12/2015 4:45:25 PM,358.41
-97.59127514,44.09571400,Stevens East,Stevens East-Corn,A,84,4.590,5.000,226.75,116,12777,15.53,10/12/2015 4:45:25 PM,358.41
-97.59137057,44.09572647,Stevens East,Stevens East-Corn,A,85,4.721,5.000,176.05,111,9920.1,15.53,10/12/2015 4:45:26 PM,358.84
-97.59135153,44.09572652,Stevens East,Stevens East-Corn,A,86,4.721,5.000,176.05,112,9920.1,15.53,10/12/2015 4:45:26 PM,358.84
-97.59133249,44.09572656,Stevens East,Stevens East-Corn,A,87,4.721,5.000,176.05,113,9920.1,15.53,10/12/2015 4:45:26 PM,358.84
-97.59131346,44.09572660,Stevens East,Stevens East-Corn,A,88,4.721,5.000,176.05,114,9920.1,15.53,10/12/2015 4:45:26 PM,358.84
-97.59129442,44.09572665,Stevens East,Stevens East-Corn,A,89,4.721,5.000,176.05,115,9920.1,15.53,10/12/2015 4:45:26 PM,358.84
-97.59127538,44.09572669,Stevens East,Stevens East-Corn,A,90,4.721,5.000,176.05,116,9920.1,15.53,10/12/2015 4:45:26 PM,358.84
-97.59137016,44.09574047,Stevens East,Stevens East-Corn,A,91,4.951,5.000,158.78,111,8946.9,15.53,10/12/2015 4:45:27 PM,359.52
-97.59135112,44.09574035,Stevens East,Stevens East-Corn,A,92,4.951,5.000,158.78,112,8946.9,15.53,10/12/2015 4:45:27 PM,359.52
-97.59133209,44.09574023,Stevens East,Stevens East-Corn,A,93,4.951,5.000,158.78,113,8946.9,15.53,10/12/2015 4:45:27 PM,359.52
-97.59131305,44.09574011,Stevens East,Stevens East-Corn,A,94,4.951,5.000,158.78,114,8946.9,15.53,10/12/2015 4:45:27 PM,359.52
-97.59129402,44.09573999,Stevens East,Stevens East-Corn,A,95,4.951,5.000,158.78,115,8946.9,15.53,10/12/2015 4:45:27 PM,359.52
-97.59127498,44.09573987,Stevens East,Stevens East-Corn,A,96,4.951,5.000,158.78,116,8946.9,15.53,10/12/2015 4:45:27 PM,359.52
-97.59136956,44.09575553,Stevens East,Stevens East-Corn,A,97,5.312,5.000,150.38,111,8473.6,15.53,10/12/2015 4:45:28 PM,0.344
-97.59135053,44.09575522,Stevens East,Stevens East-Corn,A,98,5.312,5.000,150.38,112,8473.6,15.53,10/12/2015 4:45:28 PM,0.344
