Longitude,Latitude,GrainMassFlow,GPSTime,CycleDuration,TravelSpeed,SwathWidth,GrainMoisture,Header,Pass,Field,Load,LoadNumber,Crop,GPSStatus,PDOP,Altitude
-85.166230,40.271482,12.17,134756,1,51,15,15.7,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166215,40.271482,12.71,134757,1,52,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166200,40.271482,13.47,134758,1,51,15,16.1,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166183,40.271482,14.56,134759,1,52,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166168,40.271482,13.47,134760,1,53,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166153,40.271482,13.12,134761,1,53,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166138,40.271482,12.82,134762,1,54,15,15.9,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166125,40.271480,12.87,134763,1,51,15,16.1,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166110,40.271480,13.09,134764,1,52,15,15.9,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166095,40.271480,12.94,134765,1,52,15,15.7,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166080,40.271480,11.89,134766,1,53,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,298
-85.166065,40.271482,11.36,134767,1,52,15,15.6,Down,1,0,End Rows,1,Corn,2,2.0,298
-85.166050,40.271480,10.46,134768,1,53,15,15.7,Down,1,0,End Rows,1,Corn,2,2.0,298
-85.166037,40.271480,10.44,134769,1,52,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,298
-85.166020,40.271478,9.68,134770,1,52,15,15.6,Down,1,0,End Rows,1,Corn,2,2.0,298
-85.166005,40.271480,10.91,134771,1,52,15,15.8,Down,1,0,End Rows,1,Corn,2,2.0,298
-85.165992,40.271480,10.99,134772,1,52,15,15.7,Down,1,0,End Rows,1,Corn,2,2.0,298
