#Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Swth Wdth(ft),Yld Vol(Dry)(bu/ac),Obj. Id,Yld Mass(Wet)(lb/ac),Moisture(%),Hding Veh(deg)
Longitude,Latitude,Field,Dataset,Product,ObjId,Distance,Swath,Yield,ObjId,YldMass,Moisture,Hding
-97.59136879,44.09578453,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,109,5.246,5.000,139.13,109,7839.8,15.53,0.464
-97.59134976,44.09578419,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,110,5.246,5.000,139.13,110,7839.8,15.53,0.464
-97.59133073,44.09578384,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,111,5.246,5.000,139.13,111,7839.8,15.53,0.464
-97.59131170,44.09578350,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,112,5.246,5.000,139.13,112,7839.8,15.53,0.464
-97.59129267,44.09578315,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,113,5.246,5.000,139.13,113,7839.8,15.53,0.464
-97.59127363,44.09578281,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,114,5.246,5.000,139.13,114,7839.8,15.53,0.464
-97.59136891,44.09579899,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,115,5.377,5.000,140.68,115,7927.2,15.53,0.014
-97.59134987,44.09579876,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,116,5.377,5.000,140.68,116,7927.2,15.53,0.014
-97.59133084,44.09579852,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,117,5.377,5.000,140.68,117,7927.2,15.53,0.014
-97.59131181,44.09579828,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,118,5.377,5.000,140.68,118,7927.2,15.53,0.014
-97.59129277,44.09579804,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,119,5.377,5.000,140.68,119,7927.2,15.53,0.014
-97.59127374,44.09579780,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,120,5.377,5.000,140.68,120,7927.2,15.53,0.014
-97.59136904,44.09581399,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,121,5.541,5.000,127.41,121,7179.5,15.53,359.62
-97.59135000,44.09581384,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,122,5.541,5.000,127.41,122,7179.5,15.53,359.62
-97.59133097,44.09581370,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,123,5.541,5.000,127.41,123,7179.5,15.53,359.62
-97.59131193,44.09581355,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,124,5.541,5.000,127.41,124,7179.5,15.53,359.62
-97.59129290,44.09581341,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,125,5.541,5.000,127.41,125,7179.5,15.53,359.62
-97.59127386,44.09581326,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,126,5.541,5.000,127.41,126,7179.5,15.53,359.62
-97.59136907,44.09582973,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,127,5.640,5.000,119.89,127,6755.8,15.53,0.102
-97.59135003,44.09582947,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,128,5.640,5.000,119.89,128,6755.8,15.53,0.102
-97.59133100,44.09582921,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,129,5.640,5.000,119.89,129,6755.8,15.53,0.102
-97.59131197,44.09582896,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,130,5.640,5.000,119.89,130,6755.8,15.53,0.102
-97.59129293,44.09582870,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,131,5.640,5.000,119.89,131,6755.8,15.53,0.102
-97.59127390,44.09582844,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,132,5.640,5.000,119.89,132,6755.8,15.53,0.102
-97.59136898,44.09584572,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,133,5.836,5.000,115.03,133,6482.0,15.53,0.082
-97.59134994,44.09584547,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,134,5.836,5.000,115.03,134,6482.0,15.53,0.082
-97.59133091,44.09584521,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,135,5.836,5.000,115.03,135,6482.0,15.53,0.082
-97.59131188,44.09584496,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,136,5.836,5.000,115.03,136,6482.0,15.53,0.082
