X,Y,fid,MEAN_X,MEAN_Y,Time,mean,Block,Sample,Balanced,Rectangle,Square
-97.5967570029027,44.0925144526522,"26632",-97.5967570029027,44.0925144526522,10/19/2019 8:32:47 PM,0,"0","0","0","0","0"
-97.5977484399056,44.0924831876462,"26633",-97.5977484399056,44.0924831876462,10/19/2019 11:41:27 PM,45.6703474,"0","0","0","0","0"
-97.603995566512,44.0914020193563,"26634",-97.603995566512,44.0914020193563,10/19/2019 5:36:53 PM,32.74656123,"0","0","0","0","0"
-97.6021067785125,44.0923333673564,"26635",-97.6021067785125,44.0923333673564,10/19/2019 5:47:05 PM,34.5370096,"0","0","0","0","0"
-97.595220723275,44.0904031755274,"26636",-97.595220723275,44.0904031755274,10/19/2019 10:52:05 PM,0,"3","4","0","0","1"
-97.6011190745125,44.0939305813504,"26637",-97.6011190745125,44.0939305813504,10/19/2019 5:12:25 PM,31.63321015,"0","0","0","0","0"
-97.5972277989052,44.0927712306464,"26638",-97.5972277989052,44.0927712306464,10/19/2019 11:30:02 PM,46.5171883,"0","0","0","0","0"
-97.5989842079058,44.0934253696464,"26639",-97.5989842079058,44.0934253696464,10/19/2019 9:08:52 PM,34.20919402,"0","0","0","0","0"
-97.5977462919059,44.0905821846458,"26640",-97.5977462919059,44.0905821846458,10/19/2019 9:27:53 PM,39.72225899,"0","0","0","0","0"
-97.5986819629003,44.0947194616524,"26641",-97.5986819629003,44.0947194616524,10/20/2019 12:10:09 AM,27.60880634,"0","0","0","0","0"
-97.5982900259056,44.0935767836465,"26642",-97.5982900259056,44.0935767836465,10/19/2019 11:53:04 PM,40.30405506,"0","0","0","0","0"
-97.5981638965108,44.0951014433569,"26643",-97.5981638965108,44.0951014433569,10/19/2019 5:06:59 PM,40.92208738,"0","0","0","0","0"
-97.5942052359052,44.0898843536457,"26644",-97.5942052359052,44.0898843536457,10/20/2019 1:26:42 AM,14.10212086,"0","0","0","0","0"
-97.6021738285119,44.0920510403564,"26645",-97.6021738285119,44.0920510403564,10/19/2019 6:05:41 PM,44.60504833,"0","0","0","0","0"
-97.5964638449054,44.0946311946469,"26646",-97.5964638449054,44.0946311946469,10/19/2019 11:15:07 PM,40.86827572,"1","3","0","0","0"
-97.5953686989053,44.0891657946457,"26647",-97.5953686989053,44.0891657946457,10/19/2019 10:50:53 PM,44.65369029,"3","3","0","0","0"
-97.5997897231769,44.0885312090329,"26648",-97.5997897231769,44.0885312090329,10/19/2019 7:00:00 PM,33.87786109,"0","0","0","0","0"
-97.5974640949058,44.0892995976456,"26649",-97.5974640949058,44.0892995976456,10/19/2019 9:51:44 PM,25.99212507,"0","0","0","0","0"
-97.5987303125194,44.0899747973546,"26650",-97.5987303125194,44.0899747973546,10/19/2019 7:08:54 PM,10.29714833,"0","0","0","0","0"
-97.5942109119053,44.0904782186458,"26651",-97.5942109119053,44.0904782186458,10/20/2019 1:26:05 AM,48.19557935,"5","4","0","0","1"
-97.6018804975109,44.0916700983563,"26652",-97.6018804975109,44.0916700983563,10/19/2019 6:16:54 PM,0,"0","0","0","0","0"
-97.5948829675089,44.0941093653506,"26653",-97.5948829675089,44.0941093653506,10/19/2019 4:49:48 PM,32.63154918,"0","0","0","0","0"
-97.6032561039242,44.0914805373236,"26654",-97.6032561039242,44.0914805373236,10/19/2019 6:22:35 PM,0,"0","0","0","0","0"
-97.6036966655128,44.0920174433564,"26655",-97.6036966655128,44.0920174433564,10/19/2019 6:04:37 PM,39.211393,"0","0","0","0","0"
-97.5968158870994,44.0912527545363,"26656",-97.5968158870994,44.0912527545363,10/19/2019 10:04:40 PM,43.60680249,"0","0","0","0","0"
-97.5971058709053,44.0937345866466,"26657",-97.5971058709053,44.0937345866466,10/19/2019 11:28:06 PM,15.45089935,"0","0","0","0","0"
-97.5982886959056,44.0937946386465,"26658",-97.5982886959056,44.0937946386465,10/19/2019 11:53:16 PM,4.46044884,"0","0","0","0","0"
-97.5938363669052,44.0921307436463,"26659",-97.5938363669052,44.0921307436463,10/20/2019 1:46:59 AM,40.67890436,"6","3","0","1","1"
