"Bt"||"B"|||35|40|48|84|98|135||58||0|0|0|0|0|0|100|100|100|100|100|100|92|99|100|81|91|98|5|12|35|0|0|2|1|1|3|1|1|7|1|5|12|2|5|11|27|46|55|16|24|30|11|22|25|35|42|48|0|0|0|1|1.5|3||||1.35|1.4|1.5||||1.7|1.75|1.84||0.42|0.92|4.23|0.11|0.13|0.2||||29.5|32|34.5|20.1|24.4|29.3|40|44|46|5.2|7.8|9.6|47|55|64|25|30|35|20|30|40|".32"|".32"|0|0|0|0|0|0|0|0|0|0|1|2|26.8|31.8|36.5||||24.1|29.8|44.5|5.6|7|7.8||||||||||1.9|4.8|9.7|||||||||||||||||||||"15420675"|"44677020"
"2Cg2"|2|"C"||2|102|117|155|200|200|200||83||0|0|0|0|0|1|93|97|100|87|91|100|78|85|96|57|63|72|34|38|42|2|2|3|3|4|5|4|5|7|14|15|18|11|12|15|28|34|40|17|20|22|11|14|18|25|28|30|4|6|8|0|0.25|0.5||||1.4|1.45|1.5||||1.51|1.56|1.59||1.41|2.82|14.11|0.14|0.15|0.16||||27.5|29.7|32.3|14|16.5|18.9|38|41|45|1.6|2.3|2.9|32|36|39|13|16|19|4|7|12|".32"|".32"|1|10|15|0|0|0|0|0|0|0|1|2|14.8|17.1|17.6||||18.6|24|56.6|7.4|7.9|8.4||||||||||0|0.3|1.8|||||||||||||||||||||"15420675"|"44677021"
"Cg1"||"C"||1|84|98|135|102|117|155||19||0|0|0|0|0|0|100|100|100|95|98|100|88|97|100|77|89|97|5|12|35|0|0|2|1|1|3|1|1|7|1|5|12|2|5|11|42|54|60|22|30|35|20|24|25|22|34|42|2|4|6|0|0.25|0.5||||1.35|1.45|1.5||||1.53|1.63|1.77||0.42|2.82|14.11|0.18|0.19|0.2||||27.3|32.6|35.6|12.4|19.8|25|40|42|46|1.6|3.9|6.7|30|43|52|12|22|29|7|20|31|".37"|".37"|2|5|10|0|0|0|0|0|0|0|1|2|14.5|22.4|26.9||||23.9|35.1|65.9|6.6|7.2|8.4||||||||||0|2.8|5|||||||||||||||||||||"15420675"|"44677022"
"A"||"A"||||0|||20|||||0|0|0|0|0|0|95|97.5|100|95|97.5|100|85|90|95|60|72.5|85||41.1|||3.9|||5.4|||7.2|||12.8|||11.8|||36.9||||||||18|22|26||||2|4|6||||1.2|1.25|1.3|||||1.31|||4|9|14|0.18|0.19|0.2|||||29.8|||15.4|||48||0|1.5|2.9|25|32.5|40|10|15|20|3|8|17|".20"|".20"|5|10|15|0|0|0|0|0|0|0|1|2|13|17|21|||||||6.6|7.5|8.4|||||||||||||||||||||||||||||||||"15420676"|"44677023"
"Bk1"||"B"||1||20|||71|||||0|0|0|0|3|5|95|97.5|100|95|97.5|100|85|92.5|100|45|62.5|80||39.1|||3.5|||4.9|||6.8|||12.3|||11.6|||36.9||||||||18|24|30||||1|2|3||||1.2|1.28|1.35|||||1.47|||4|9|14|0.13|0.15|0.17|||||28.7|||14.2|||47||3|4.5|5.9|25|32.5|40|5|12.5|20|0|5|15|".32"|".32"|15|23|30|0|3|5|0|1|1|0|1|2|10|12.5|15|||||||7.4|8.2|9|||||||||||||||||||||||||||||||||"15420676"|"44677024"
"Bk2"||"B"||2||71|||135|||||0|0|0|0|3|5|95|97.5|100|95|97.5|100|85|92.5|100|60|70|80||34.4|||3.1|||4.3|||5.9|||10.8|||10.3|||37.6||||||||18|28|30||||0|0.5|1||||1.25|1.3|1.35|||||1.49|||4|9|14|0.16|0.18|0.2|||||29.5|||15.4|||47||3|4.5|5.9|25|32.5|40|5|12.5|20|0|7|15|".32"|".32"|10|15|20|0|3|5|0|1|2|2|3|4|10|12.5|15|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"15420676"|"44677025"
"C"||"C"||||135|||200|||||0|0|0|0|3|5|90|95|100|80|90|100|65|80|95|40|57.5|75||37.1|||3.3|||4.7|||6.4|||11.6|||11.1|||40.4||||||||15|22.5|30||||0|0.25|0.5||||1.3|1.38|1.45|||||1.45|||1.4|8|14|0.1|0.14|0.18|||||20.8|||12.4|||42||0|1.5|2.9|20|27.5|35|5|10|15|0|3|10|".37"|".37"|5|10|15|0|1|2|0|1|2|2|5|8|9|11.5|14|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"15420676"|"44677026"
"Ap"||"A"|||0|0|0|13|19|20||19||0|0|0|0|0|5|94|96|100|88|92|100|80|85|96|58|63|73|34|38|42|2|2|3|3|4|5|4|5|7|14|15|18|11|12|15|35|40|45|18|20|23|17|20|22|18|22|26|0|1|3|1|2.5|4||||1.4|1.45|1.5||||1.52|1.57|1.59||4.23|9.17|14.11|0.18|0.2|0.22||||24.7|29.1|33.1|10.6|15.3|20.3|36|39|43|0|2.5|2.9|28|37|44|10|14|18|3|7|13|".28"|".28"|1|5|10|0|0|0|0|0|0|0|1|2|15.1|18|19.9||||19.5|24.3|58.9|6.6|7.7|8.4||||||||||0|1.7|5.5|||||||||||||||||||||"15420677"|"44677027"
"Bk"||"B"|||13|19|20|43|84|112||65||0|0|0|0|0|3|95|97|100|90|93|100|81|86|96|59|64|72|34|38|42|2|2|3|3|4|5|4|5|7|14|15|18|11|12|15|28|34|40|17|20|22|11|14|18|25|28|30|2|4|6|0.5|0.75|1||||1.4|1.45|1.5||||1.54|1.59|1.59||1.41|2.82|14.11|0.15|0.17|0.19||||28.1|30.5|32.7|14.7|17.3|19.5|38|41|44|0|2.9|2.9|33|38|41|14|17|20|5|8|13|".32"|".32"|15|20|30|0|0|0|0|0|0|0|1|2|18.3|19.3|19.6||||20.8|57|58.6|7.4|7.9|8.4||||||||||0|0.7|2.2|||||||||||||||||||||"15420677"|"44677028"
"C"||"C"|||43|84|112|200|200|200||116||0|0|0|0|0|1|93|97|100|87|91|100|78|85|96|57|63|72|34|38|42|2|2|3|3|4|5|4|5|7|14|15|18|11|12|15|28|34|40|17|20|22|11|14|18|25|28|30|4|6|8|0|0.25|0.5||||1.4|1.45|1.5||||1.52|1.57|1.59||1.41|2.82|14.11|0.14|0.15|0.16||||27.5|29.7|32.3|14|16.5|18.9|38|41|45|0|2.5|2.9|31|36|39|13|17|19|4|8|12|".32"|".32"|1|10|15|0|0|0|0|0|0|0|1|2|14.8|17.1|17.6||||18.6|24|56.6|7.4|7.9|8.4||||||||||0|0.3|1.8|||||||||||||||||||||"15420677"|"44677029"
