"Silty clay loam"||"88612028"|"90161901"
"Silt loam"||"88612027"|"90161737"
"Clay loam"||"88612026"|"90161736"
"Loam"||"88612025"|"90161735"
"Silty clay loam"||"88612024"|"90161734"
"Silty clay"||"88612023"|"90161900"
"Clay loam"||"88612022"|"90162472"
"Clay loam"||"88612021"|"90161899"
"Clay"||"88612020"|"90162471"
"Silty clay"||"88612019"|"90161602"
"Silty clay loam"||"88612018"|"90161601"
"Silty clay"||"88612017"|"90161598"
"Silty clay loam"||"88612016"|"90161898"
"Clay loam"||"88612015"|"90161600"
"Clay"||"88612014"|"90161599"
"Silt loam"||"88612013"|"90162470"
"Silt loam"||"88612012"|"90161897"
"Clay loam"||"88612011"|"90162469"
"Loam"||"88612010"|"90161733"
"Clay loam"||"88612009"|"90161732"
"Loam"||"88612008"|"90161731"
"Clay loam"||"88612007"|"90161730"
"Loam"||"88612006"|"90162468"
"Silt loam"||"88612344"|"90162214"
"Silty clay"||"88612343"|"90162213"
"Clay"||"88612342"|"90162212"
"Silty clay loam"||"88612341"|"90162616"
"Clay loam"||"88612340"|"90162807"
"Silt loam"||"88612339"|"90162615"
"Loam"||"88612338"|"90162806"
"Silty clay loam"||"88612337"|"90162519"
"Loam"||"88612336"|"90162518"
"Clay loam"||"88612335"|"90162517"
"Silt loam"||"88612334"|"90162516"
"Clay loam"||"88612333"|"90162805"
"Loam"||"88612332"|"90162614"
"Silty clay loam"||"88612331"|"90162804"
"Silty clay"||"88612330"|"90162340"
"Clay loam"||"88612329"|"90162184"
"Loam"||"88612328"|"90162183"
"Clay loam"||"88612327"|"90162182"
"Loam"||"88612326"|"90162181"
"Loam"||"88612325"|"90162339"
"Clay loam"||"88612324"|"90162782"
"Loam"||"88612323"|"90162338"
"Loam"||"88612322"|"90162781"
"Clay loam"||"88612321"|"90162063"
"Loam"||"88612320"|"90162062"
"Clay loam"||"88612319"|"90162061"
"Loam"||"88612318"|"90162060"
"Loam"||"88612317"|"90162059"
"Loam"||"88612316"|"90162058"
"Clay loam"||"88612315"|"90162337"
"Clay"||"88612314"|"90162780"
"Clay loam"||"88612313"|"90162336"
"Loam"||"88612312"|"90162778"
"Loam"||"88612311"|"90162779"
"Loam"||"88612310"|"90162180"
"Clay loam"||"88612309"|"90162179"
"Clay loam"||"88612308"|"90162178"
"Loam"||"88612307"|"90162177"
"Clay loam"||"88612306"|"90162176"
"Loam"||"88612305"|"90162335"
"Clay loam"||"88612304"|"90162057"
"Loam"||"88612303"|"90162056"
"Clay loam"||"88612302"|"90162055"
"Loam"||"88612301"|"90162054"
"Loam"||"88612300"|"90162776"
"Loam"||"88612299"|"90162334"
"Clay loam"||"88612298"|"90162777"
"Loam"||"88612249"|"90162201"
"Clay loam"||"88612248"|"90162200"
"Clay loam"||"88612247"|"90162199"
"Loam"||"88612246"|"90162352"
"Loam"||"88612245"|"90162351"
"Clay loam"||"88612244"|"90162793"
"Loam"||"88612243"|"90162792"
"Loam"||"88612242"|"90162350"
"Clay loam"||"88612241"|"90162791"
"Loam"||"88612240"|"90162198"
"Clay loam"||"88612239"|"90162197"
"Loam"||"88612238"|"90162196"
"Sandy loam"||"88612237"|"90162194"
"Clay loam"||"88612237"|"90162195"
"Clay loam"||"88612236"|"90162790"
"Loam"||"88612235"|"90162349"
"Sandy loam"||"88612234"|"90162789"
"Clay loam"||"88612233"|"90162348"
"Loam"||"88612232"|"90162071"
"Loam"||"88612231"|"90162070"
"Silt loam"||"88612230"|"90162069"
"Clay loam"||"88612229"|"90162068"
"Loam"||"88612228"|"90162347"
"Silty clay loam"||"88612227"|"90162788"
"Silty clay"||"88612226"|"90162346"
"Loam"||"88612225"|"90162787"
"Clay loam"||"88612224"|"90162193"
"Silty clay"||"88612223"|"90162192"
"Clay"||"88612222"|"90162191"
