X,Y,fid,MEAN_X,MEAN_Y,Time,mean,Keep,Strip
-97.5964917218315,44.0961603478906,1941.00000,-97.59649,44.09616,10/12/2015 9:27:58 PM,150.05088,"1","8"
-97.5990758458318,44.0962811498907,1942.00000,-97.59908,44.09628,10/12/2015 9:30:29 PM,206.74389,"1","7"
-97.5988916708318,44.0961135048906,1943.00000,-97.59889,44.09611,10/12/2015 9:22:13 PM,156.75422,"1","9"
-97.5973208088316,44.0964193098907,1944.00000,-97.59732,44.09642,10/12/2015 9:36:55 PM,171.99616,"1","5"
-97.5972027158314,44.0959220428907,1946.00000,-97.59720,44.09592,10/12/2015 9:00:26 PM,170.78438,"1","11"
-97.5962077628314,44.0958262278906,1954.00000,-97.59621,44.09583,10/12/2015 9:04:47 PM,180.88018,"1","12"
-97.5975833658315,44.0963409918907,1955.00000,-97.59758,44.09634,10/12/2015 9:34:04 PM,171.64088,"1","6"
-97.5970934878316,44.0960868628906,1957.00000,-97.59709,44.09609,10/12/2015 9:23:19 PM,145.71558,"1","9"
-97.5963233458315,44.0959931128906,1959.00000,-97.59632,44.09599,10/12/2015 9:19:42 PM,177.17924,"1","10"
-97.5977439108317,44.0964264778908,1960.00000,-97.59774,44.09643,10/12/2015 9:36:39 PM,176.55449,"1","5"
-97.5988093078317,44.0961119748906,1961.00000,-97.59881,44.09611,10/12/2015 9:22:16 PM,183.21314,"1","9"
-97.5987459818318,44.0965227698908,1963.00000,-97.59875,44.09652,10/12/2015 9:40:04 PM,173.87225,"1","4"
-97.5982582188317,44.0958547128907,1964.00000,-97.59826,44.09585,10/12/2015 9:03:33 PM,160.83636,"1","12"
-97.5978234298316,44.0964273078908,1965.00000,-97.59782,44.09643,10/12/2015 9:36:36 PM,164.74630,"1","5"
-97.598596812832,44.0961914628907,1967.00000,-97.59860,44.09619,10/12/2015 9:29:13 PM,152.94533,"1","8"
-97.5986315678318,44.0967692388908,1.00000,-97.59863,44.09677,10/12/2015 9:46:18 PM,188.17847,"1","1"
-97.5991110368318,44.0958680408907,1.00000,-97.59911,44.09587,10/12/2015 9:03:02 PM,164.36018,"1","12"
-97.5968882308315,44.0966610228908,1972.00000,-97.59689,44.09666,10/12/2015 9:43:53 PM,176.64184,"1","2"
-97.5959310848314,44.0962342198907,1973.00000,-97.59593,44.09623,10/12/2015 9:32:29 PM,161.38645,"1","7"
-97.5979752048317,44.0961004798906,1975.00000,-97.59798,44.09610,10/12/2015 9:22:47 PM,190.31244,"1","9"
-97.598868816832,44.0962779878907,1977.00000,-97.59887,44.09628,10/12/2015 9:30:37 PM,175.83740,"1","7"
-97.5990909938318,44.0966094238908,1980.00000,-97.59909,44.09661,10/12/2015 9:41:07 PM,160.67966,"1","3"
-97.5963440158316,44.0964873318907,1982.00000,-97.59634,44.09649,10/12/2015 9:38:43 PM,178.68314,"1","4"
-97.5976733378316,44.0963423218907,1984.00000,-97.59767,44.09634,10/12/2015 9:34:07 PM,187.60064,"1","6"
-97.5960963328314,44.0958247308906,1985.00000,-97.59610,44.09582,10/12/2015 9:04:51 PM,203.43570,"1","12"
-97.5973608268316,44.0965850898908,1986.00000,-97.59736,44.09659,10/12/2015 9:42:09 PM,176.42427,"1","3"
-97.5967322608315,44.0958339948906,1987.00000,-97.59673,44.09583,10/12/2015 9:04:28 PM,166.05887,"1","12"
-97.5968032008315,44.0966597018908,1988.00000,-97.59680,44.09666,10/12/2015 9:43:50 PM,187.17055,"1","2"
-97.5993537998315,44.0958709488907,1990.00000,-97.59935,44.09587,10/12/2015 9:02:51 PM,182.65855,"1","12"
-97.5973653698316,44.0960089158906,1992.00000,-97.59737,44.09601,10/12/2015 9:20:18 PM,184.20868,"1","10"
-97.5971962678316,44.0963354238907,1994.00000,-97.59720,44.09634,10/12/2015 9:33:51 PM,178.10886,"1","6"
-97.5971761538317,44.0960883048906,1995.00000,-97.59718,44.09609,10/12/2015 9:23:16 PM,191.29927,"1","9"
-97.5988258478319,44.0967720158908,1.00000,-97.59883,44.09677,10/12/2015 9:46:11 PM,191.41585,"1","1"
-97.5972936218316,44.0966669478908,1.00000,-97.59729,44.09667,10/12/2015 9:44:07 PM,181.82787,"1","2"
-97.599022749832,44.0961972818907,2004.00000,-97.59902,44.09620,10/12/2015 9:29:28 PM,196.22523,"1","8"
-97.5980201318319,44.0962661178907,2005.00000,-97.59802,44.09627,10/12/2015 9:31:10 PM,171.27992,"1","7"
-97.5985975188319,44.0963555548907,2006.00000,-97.59860,44.09636,10/12/2015 9:34:38 PM,181.33207,"1","6"
-97.5961312468314,44.0962373258907,2008.00000,-97.59613,44.09624,10/12/2015 9:32:22 PM,168.09619,"1","7"
-97.5971329908316,44.0958389108906,2009.00000,-97.59713,44.09584,10/12/2015 9:04:13 PM,183.84694,"1","12"
-97.5979297608318,44.0961822028907,2010.00000,-97.59793,44.09618,10/12/2015 9:28:50 PM,171.32728,"1","8"
-97.5962096218316,44.0961565528906,2011.00000,-97.59621,44.09616,10/12/2015 9:25:08 PM,138.98279,"1","8"
-97.5967177008315,44.0965754278908,2012.00000,-97.59672,44.09658,10/12/2015 9:42:32 PM,167.85105,"1","3"
-97.5965905798315,44.0964082238907,2014.00000,-97.59659,44.09641,10/12/2015 9:37:22 PM,176.95393,"1","5"
-97.5977029778317,44.0961788968906,2016.00000,-97.59770,44.09618,10/12/2015 9:28:42 PM,181.59807,"1","8"
-97.5973173368313,44.0959240698907,2017.00000,-97.59732,44.09592,10/12/2015 9:00:30 PM,183.80610,"1","11"
-97.599353731832,44.0962851698907,2019.00000,-97.59935,44.09629,10/12/2015 9:30:18 PM,156.06078,"1","7"
-97.5971397118315,44.0962527468907,2020.00000,-97.59714,44.09625,10/12/2015 9:31:44 PM,164.46790,"1","7"
-97.5986993308317,44.0958621248907,2021.00000,-97.59870,44.09586,10/12/2015 9:03:17 PM,172.69538,"1","12"
-97.5981741888317,44.0958540658906,2022.00000,-97.59817,44.09585,10/12/2015 9:03:36 PM,153.51077,"1","12"
-97.5988743338316,44.0959464408907,2024.00000,-97.59887,44.09595,10/12/2015 9:01:25 PM,191.29603,"1","11"
-97.5958477948315,44.0960684578906,2025.00000,-97.59585,44.09607,10/12/2015 9:24:05 PM,185.03282,"1","9"
-97.5980034598316,44.0966770398908,2026.00000,-97.59800,44.09668,10/12/2015 9:44:30 PM,186.89050,"1","2"
-97.5974228738316,44.0965035858908,2028.00000,-97.59742,44.09650,10/12/2015 9:39:20 PM,164.67390,"1","4"
-97.5962165668314,44.0959914448906,2029.00000,-97.59622,44.09599,10/12/2015 9:19:38 PM,190.87433,"1","10"
-97.5977065608317,44.0960143328906,2031.00000,-97.59771,44.09601,10/12/2015 9:20:30 PM,205.00176,"1","10"
-97.598765188832,44.0962766998907,2032.00000,-97.59877,44.09628,10/12/2015 9:30:41 PM,165.08798,"1","7"
-97.5991139618317,44.0961160428906,2037.00000,-97.59911,44.09612,10/12/2015 9:22:05 PM,185.90265,"1","9"
-97.5988361988318,44.0960310278906,2040.00000,-97.59884,44.09603,10/12/2015 9:21:10 PM,176.24496,"1","10"
-97.5978702838317,44.0967585108908,1.00000,-97.59787,44.09676,10/12/2015 9:46:45 PM,173.59664,"1","1"
-97.5963639978313,44.0959106098907,1.00000,-97.59636,44.09591,10/12/2015 8:59:57 PM,183.13206,"1","11"
-97.5989369658317,44.0967734718908,1.00000,-97.59894,44.09677,10/12/2015 9:46:07 PM,169.94722,"1","1"
-97.5971747118317,44.0961706658906,1.00000,-97.59717,44.09617,10/12/2015 9:28:23 PM,179.46564,"1","8"
-97.5961514528316,44.0964845338908,2058.00000,-97.59615,44.09648,10/12/2015 9:38:36 PM,179.34870,"1","4"
-97.5964036938314,44.0958288338906,2060.00000,-97.59640,44.09583,10/12/2015 9:04:40 PM,183.84897,"1","12"
-97.5960457588314,44.0962357898907,2062.00000,-97.59605,44.09624,10/12/2015 9:32:25 PM,187.72383,"1","7"
-97.5958258368309,44.0959022648907,2064.00000,-97.59583,44.09590,10/12/2015 8:59:38 PM,153.51341,"1","11"
-97.5982972238319,44.0967647888908,1.00000,-97.59830,44.09676,10/12/2015 9:46:30 PM,170.99695,"1","1"
-97.5957462558313,44.0961491758906,1.00000,-97.59575,44.09615,10/12/2015 9:24:47 PM,134.65847,"1","8"
-97.5978528018315,44.0959318498907,2069.00000,-97.59785,44.09593,10/12/2015 9:00:49 PM,189.90495,"1","11"
-97.5984425698319,44.0965184868908,2074.00000,-97.59844,44.09652,10/12/2015 9:39:54 PM,182.01584,"1","4"
-97.5981942268318,44.0961034488906,2075.00000,-97.59819,44.09610,10/12/2015 9:22:39 PM,172.57526,"1","9"
-97.5967752658315,44.0966591268908,2079.00000,-97.59678,44.09666,10/12/2015 9:43:49 PM,181.30789,"1","2"
-97.5992612348318,44.0960365748906,2080.00000,-97.59926,44.09604,10/12/2015 9:21:25 PM,160.91208,"1","10"
-97.5989783808317,44.0959474228907,2081.00000,-97.59898,44.09595,10/12/2015 9:01:29 PM,177.68056,"1","11"
-97.5973040668318,44.0965015608908,2083.00000,-97.59730,44.09650,10/12/2015 9:39:16 PM,157.54953,"1","4"
-97.5993980458319,44.0966965518908,2084.00000,-97.59940,44.09670,10/12/2015 9:45:19 PM,86.38540,"1","2"
-97.5981299368318,44.0961851858907,2086.00000,-97.59813,44.09619,10/12/2015 9:28:57 PM,179.16883,"1","8"
-97.5992140528318,44.0967766158908,1.00000,-97.59921,44.09678,10/12/2015 9:45:57 PM,157.61771,"1","1"
-97.5965170638315,44.0963246608907,1.00000,-97.59652,44.09632,10/12/2015 9:33:28 PM,164.02592,"1","6"
-97.599177258832,44.0960350628906,2090.00000,-97.59918,44.09604,10/12/2015 9:21:22 PM,189.51374,"1","10"
