"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Precipitation (mm)
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1986"	"1986"	"Jan"	"1"	0.87
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1986"	"1986"	"Feb"	"2"	2.91
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1986"	"1986"	"Mar"	"3"	1.36
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1986"	"1986"	"Apr"	"4"	1.85
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1986"	"1986"	"May"	"5"	1.79
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1986"	"1986"	"Jun"	"6"	1.61
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1986"	"1986"	"Jul"	"7"	0.96
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1986"	"1986"	"Aug"	"8"	2.05
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1986"	"1986"	"Sep"	"9"	2.11
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1986"	"1986"	"Oct"	"10"	0.35
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1986"	"1986"	"Nov"	"11"	1.20
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1986"	"1986"	"Dec"	"12"	0.29
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1987"	"1987"	"Jan"	"1"	0.70
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1987"	"1987"	"Feb"	"2"	1.18
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1987"	"1987"	"Mar"	"3"	1.35
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1987"	"1987"	"Apr"	"4"	0.82
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1987"	"1987"	"May"	"5"	3.83
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1987"	"1987"	"Jun"	"6"	1.40
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1987"	"1987"	"Jul"	"7"	3.55
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1987"	"1987"	"Aug"	"8"	1.28
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1987"	"1987"	"Sep"	"9"	0.08
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1987"	"1987"	"Oct"	"10"	0.00
