"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Precipitation (mm)
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1985"	"1985"	"Oct"	"10"	2.26
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1985"	"1985"	"Nov"	"11"	0.23
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1985"	"1985"	"Dec"	"12"	0.22
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1986"	"1986"	"Jan"	"1"	0.09
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1986"	"1986"	"Feb"	"2"	1.15
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1986"	"1986"	"Mar"	"3"	0.32
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1986"	"1986"	"Apr"	"4"	0.46
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1986"	"1986"	"May"	"5"	1.21
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1986"	"1986"	"Jun"	"6"	2.33
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1986"	"1986"	"Jul"	"7"	2.11
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1986"	"1986"	"Aug"	"8"	1.44
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1986"	"1986"	"Sep"	"9"	1.05
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1986"	"1986"	"Oct"	"10"	2.36
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1986"	"1986"	"Nov"	"11"	2.15
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1986"	"1986"	"Dec"	"12"	0.93
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1987"	"1987"	"Jan"	"1"	1.03
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1987"	"1987"	"Feb"	"2"	0.97
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1987"	"1987"	"Mar"	"3"	0.23
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1987"	"1987"	"Apr"	"4"	0.75
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1987"	"1987"	"May"	"5"	1.13
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1987"	"1987"	"Jun"	"6"	0.49
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1987"	"1987"	"Jul"	"7"	0.85
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1987"	"1987"	"Aug"	"8"	2.59
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1987"	"1987"	"Sep"	"9"	0.26
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1987"	"1987"	"Oct"	"10"	0.44
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1987"	"1987"	"Nov"	"11"	0.68
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1987"	"1987"	"Dec"	"12"	0.83
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1988"	"1988"	"Jan"	"1"	0.34
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1988"	"1988"	"Feb"	"2"	0.16
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1988"	"1988"	"Mar"	"3"	0.86
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1988"	"1988"	"Apr"	"4"	1.30
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1988"	"1988"	"May"	"5"	0.64
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1988"	"1988"	"Jun"	"6"	1.66
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1988"	"1988"	"Jul"	"7"	2.76
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1988"	"1988"	"Aug"	"8"	2.77
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1988"	"1988"	"Sep"	"9"	2.70
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1988"	"1988"	"Oct"	"10"	0.30
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1988"	"1988"	"Nov"	"11"	0.33
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1988"	"1988"	"Dec"	"12"	0.31
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1989"	"1989"	"Jan"	"1"	0.75
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1989"	"1989"	"Feb"	"2"	0.46
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1989"	"1989"	"Mar"	"3"	0.66
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1989"	"1989"	"Apr"	"4"	0.04
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1989"	"1989"	"May"	"5"	0.08
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1989"	"1989"	"Jun"	"6"	0.08
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1989"	"1989"	"Jul"	"7"	2.39
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1989"	"1989"	"Aug"	"8"	0.65
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1989"	"1989"	"Sep"	"9"	0.47
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1989"	"1989"	"Oct"	"10"	1.02
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1989"	"1989"	"Nov"	"11"	0.02
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1989"	"1989"	"Dec"	"12"	0.30
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1990"	"1990"	"Jan"	"1"	0.50
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1990"	"1990"	"Feb"	"2"	0.68
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1990"	"1990"	"Mar"	"3"	0.64
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1990"	"1990"	"Apr"	"4"	1.52
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1990"	"1990"	"May"	"5"	0.55
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1990"	"1990"	"Jun"	"6"	0.33
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1990"	"1990"	"Jul"	"7"	2.82
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1990"	"1990"	"Aug"	"8"	1.78
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1990"	"1990"	"Sep"	"9"	1.60
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1990"	"1990"	"Oct"	"10"	0.19
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1990"	"1990"	"Nov"	"11"	1.15
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1990"	"1990"	"Dec"	"12"	1.00
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1991"	"1991"	"Jan"	"1"	0.54
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1991"	"1991"	"Feb"	"2"	0.26
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1991"	"1991"	"Mar"	"3"	0.25
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1991"	"1991"	"Apr"	"4"	0.00
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1991"	"1991"	"May"	"5"	1.06
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1991"	"1991"	"Jun"	"6"	0.95
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1991"	"1991"	"Jul"	"7"	3.00
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1991"	"1991"	"Aug"	"8"	2.14
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1991"	"1991"	"Sep"	"9"	1.88
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1991"	"1991"	"Oct"	"10"	0.33
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1991"	"1991"	"Nov"	"11"	2.08
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1991"	"1991"	"Dec"	"12"	1.95
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1992"	"1992"	"Jan"	"1"	0.73
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1992"	"1992"	"Feb"	"2"	0.31
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1992"	"1992"	"Mar"	"3"	0.59
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1992"	"1992"	"Apr"	"4"	0.22
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1992"	"1992"	"May"	"5"	2.05
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1992"	"1992"	"Jun"	"6"	0.54
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1992"	"1992"	"Jul"	"7"	1.74
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1992"	"1992"	"Aug"	"8"	2.19
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1992"	"1992"	"Sep"	"9"	0.99
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1992"	"1992"	"Oct"	"10"	0.63
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1992"	"1992"	"Nov"	"11"	1.10
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1992"	"1992"	"Dec"	"12"	1.39
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1993"	"1993"	"Jan"	"1"	1.08
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1993"	"1993"	"Feb"	"2"	1.55
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1993"	"1993"	"Mar"	"3"	0.53
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1993"	"1993"	"Apr"	"4"	0.06
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1993"	"1993"	"May"	"5"	0.46
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1993"	"1993"	"Jun"	"6"	0.40
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1993"	"1993"	"Jul"	"7"	1.00
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1993"	"1993"	"Aug"	"8"	3.02
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1993"	"1993"	"Sep"	"9"	0.55
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1993"	"1993"	"Oct"	"10"	0.61
