YEAR,LOCATION,PLOT,ROW,COLUMN,BLOCK,TREATMENT,ENTRY,VARIETY,P WT KG,MOISTURE(DJ),TW,PROTEIN,PRO MOIS,YIELD,YIELD135,TESTWT,PROTEIN12
2015,NORTHVILLE,116,1,2,1,1,16,WB-Mayville,2.0,12.3,52.6,13.9,13.2,48.0,48.7,52.6,14.1
2015,NORTHVILLE,117,1,3,1,2,10,SD4451,1.6,13.0,57.6,14.8,13.9,40.2,40.4,57.6,15.1
2015,NORTHVILLE,118,2,3,1,2,7,SD4299,2.3,13.0,57.6,15.1,13.6,55.8,56.2,57.6,15.4
2015,NORTHVILLE,119,3,3,1,2,12,Select,2.2,12.6,56.7,15.2,13.4,54.7,55.3,56.7,15.4
2015,NORTHVILLE,120,4,3,1,2,3,Focus,2.6,13.5,59.3,15.3,13.6,63.7,63.7,59.3,15.6
2015,NORTHVILLE,121,5,3,1,2,1,Advance,2.6,12.9,57.7,14.7,13.0,63.7,64.1,57.7,14.9
2015,NORTHVILLE,122,6,3,1,2,2,Faller,2.5,12.7,57.3,14.0,13.9,61.4,62.0,57.3,14.3
2015,NORTHVILLE,123,7,3,1,2,5,MS-Stingray,.,13.6,55.4,12.3,13.5,.,.,55.4,12.5
2015,NORTHVILLE,124,8,3,1,2,4,Forefront,1.7,13.4,57.9,14.4,14.3,42.4,42.5,57.9,14.8
2015,NORTHVILLE,125,8,4,1,2,9,SD4393,2.4,13.3,57.0,15.3,13.4,60.3,60.4,57.0,15.5
2015,NORTHVILLE,126,7,4,1,2,16,WB-Mayville,2.5,12.5,56.1,14.6,13.3,61.4,62.1,56.1,14.8
2015,NORTHVILLE,127,6,4,1,2,14,SY-Rowyn,2.6,12.4,58.8,14.4,13.5,64.8,65.6,58.8,14.6
2015,NORTHVILLE,128,5,4,1,2,8,SD4383,2.4,12.6,56.5,15.3,13.1,58.1,58.7,56.5,15.5
2015,NORTHVILLE,129,4,4,1,2,6,Prevail,2.6,13.2,58.2,14.8,13.7,64.8,65.0,58.2,15.1
2015,NORTHVILLE,130,3,4,1,2,15,SY-Soren,2.4,12.9,57.2,15.2,13.7,60.3,60.7,57.2,15.5
2015,NORTHVILLE,131,2,4,1,2,13,SY-Ingmar,2.4,13.3,56.5,14.9,13.5,58.1,58.2,56.5,15.2
2015,NORTHVILLE,132,1,4,1,2,11,SD4471,2.0,13.2,57.0,14.3,13.7,50.3,50.4,57.0,14.6
2015,NORTHVILLE,133,1,5,1,3,6,Prevail,2.3,13.1,57.9,14.4,13.8,57.0,57.2,57.9,14.7
2015,NORTHVILLE,134,2,5,1,3,9,SD4393,2.3,13.4,57.6,14.6,13.3,55.8,55.9,57.6,14.8
2015,NORTHVILLE,135,3,5,1,3,2,Faller,2.3,13.1,57.6,13.9,13.6,55.8,56.1,57.6,14.2
2015,NORTHVILLE,136,4,5,1,3,11,SD4471,2.3,12.9,57.7,14.8,13.5,57.0,57.3,57.7,15.1
2015,NORTHVILLE,137,5,5,1,3,16,WB-Mayville,2.4,12.7,56.6,14.9,13.6,58.1,58.6,56.6,15.2
2015,NORTHVILLE,138,6,5,1,3,7,SD4299,2.7,12.9,58.8,15.4,13.8,65.9,66.3,58.8,15.7
2015,NORTHVILLE,139,7,5,1,3,1,Advance,2.9,12.7,59.1,14.8,13.3,70.4,71.0,59.1,15.0
2015,NORTHVILLE,140,8,5,1,3,10,SD4451,2.0,12.9,58.7,15.0,14.0,49.1,49.5,58.7,15.3
2015,NORTHVILLE,141,8,6,1,3,13,SY-Ingmar,2.6,13.2,58.1,14.5,13.8,63.7,63.9,58.1,14.8
2015,NORTHVILLE,142,7,6,1,3,5,MS-Stingray,3.0,13.6,57.6,12.8,13.9,74.8,74.7,57.6,13.1
2015,NORTHVILLE,143,6,6,1,3,15,SY-Soren,2.4,13.4,57.2,15.6,13.8,58.1,58.1,57.2,15.9
2015,NORTHVILLE,144,5,6,1,3,14,SY-Rowyn,2.4,12.9,57.8,14.5,13.6,59.2,59.6,57.8,14.8
2015,NORTHVILLE,145,4,6,1,3,8,SD4383,2.6,12.4,56.5,14.9,13.3,63.7,64.5,56.5,15.1
2015,NORTHVILLE,146,3,6,1,3,4,Forefront,2.2,13.4,58.7,14.5,13.9,54.7,54.8,58.7,14.8
2015,NORTHVILLE,147,2,6,1,3,3,Focus,2.3,13.3,59.6,14.5,13.4,57.0,57.1,59.6,14.7
2015,NORTHVILLE,148,1,6,1,3,12,Select,2.4,13.4,59.5,14.2,13.7,58.1,58.1,59.5,14.5
2015,NORTHVILLE,149,1,7,1,4,11,SD4471,2.5,12.7,57.2,14.7,13.2,62.5,63.1,57.2,14.9
2015,NORTHVILLE,150,2,7,1,4,15,SY-Soren,2.5,13.0,58.6,15.6,13.5,61.4,61.8,58.6,15.9
2015,NORTHVILLE,151,3,7,1,4,9,SD4393,2.4,12.8,57.2,15.0,13.5,59.2,59.7,57.2,15.3
2015,NORTHVILLE,152,4,7,1,4,2,Faller,2.9,12.6,58.4,13.9,14.2,71.5,72.2,58.4,14.3
2015,NORTHVILLE,153,5,7,1,4,4,Forefront,2.4,12.8,57.9,15.3,13.8,58.1,58.5,57.9,15.6
2015,NORTHVILLE,154,6,7,1,4,6,Prevail,2.8,12.4,58.0,15.3,13.0,68.1,69.0,58.0,15.5
2015,NORTHVILLE,155,7,7,1,4,10,SD4451,.,12.8,57.7,15.4,13.9,.,.,57.7,15.7
2015,NORTHVILLE,156,8,7,1,4,1,Advance,2.7,13.0,59.2,14.2,13.2,65.9,66.3,59.2,14.4
2015,NORTHVILLE,157,8,8,1,4,13,SY-Ingmar,2.8,13.0,57.7,15.4,13.9,68.1,68.5,57.7,15.7
2015,NORTHVILLE,158,7,8,1,4,8,SD4383,2.6,12.5,56.5,15.3,13.3,64.8,65.5,56.5,15.5
2015,NORTHVILLE,159,6,8,1,4,12,Select,2.4,12.6,58.2,15.3,13.1,58.1,58.7,58.2,15.5
2015,NORTHVILLE,160,5,8,1,4,5,MS-Stingray,2.9,13.1,55.6,14.0,13.4,70.4,70.7,55.6,14.2
2015,NORTHVILLE,161,4,8,1,4,3,Focus,2.6,13.4,59.5,15.1,13.2,64.8,64.8,59.5,15.3
2015,NORTHVILLE,162,3,8,1,4,14,SY-Rowyn,2.5,12.9,58.1,14.7,13.1,62.5,63.0,58.1,14.9
2015,NORTHVILLE,163,2,8,1,4,16,WB-Mayville,2.7,12.6,57.2,14.7,13.5,65.9,66.6,57.2,15.0
2015,NORTHVILLE,164,1,8,1,4,7,SD4299,2.4,12.9,56.7,15.4,13.5,60.3,60.7,56.7,15.7
2015,NORTHVILLE,165,1,9,1,5,12,Select,2.3,13.1,58.6,14.7,13.5,57.0,57.2,58.6,15.0
2015,NORTHVILLE,166,2,9,1,5,1,Advance,2.5,12.7,58.6,14.5,12.9,61.4,62.0,58.6,14.6
2015,NORTHVILLE,167,3,9,1,5,9,SD4393,2.4,12.5,58.5,14.9,13.5,58.1,58.7,58.5,15.2
2015,NORTHVILLE,168,4,9,1,5,15,SY-Soren,2.6,12.8,58.2,15.4,13.7,64.8,65.3,58.2,15.7
2015,NORTHVILLE,169,5,9,1,5,16,WB-Mayville,2.4,12.3,56.6,15.6,13.6,60.3,61.1,56.6,15.9
2015,NORTHVILLE,170,6,9,1,5,13,SY-Ingmar,2.4,12.6,58.9,15.6,13.4,58.1,58.7,58.9,15.9
2015,NORTHVILLE,171,7,9,1,5,3,Focus,2.4,13.1,59.6,14.7,13.1,59.2,59.5,59.6,14.9
2015,NORTHVILLE,172,8,9,1,5,6,Prevail,2.7,13.0,58.2,15.2,13.8,65.9,66.3,58.2,15.5
2015,NORTHVILLE,173,8,10,1,5,5,MS-Stingray,.,.,.,.,.,.,.,.,.
2015,NORTHVILLE,174,7,10,1,5,8,SD4383,2.6,12.1,57.7,15.3,12.8,63.7,64.7,57.7,15.4
2015,NORTHVILLE,175,6,10,1,5,7,SD4299,2.6,12.7,57.7,15.5,13.6,63.7,64.2,57.7,15.8
2015,NORTHVILLE,176,5,10,1,5,2,Faller,2.7,12.4,57.2,14.8,13.8,67.0,67.9,57.2,15.1
2015,NORTHVILLE,177,4,10,1,5,14,SY-Rowyn,2.7,12.5,58.8,14.2,13.6,65.9,66.6,58.8,14.5
2015,NORTHVILLE,178,3,10,1,5,11,SD4471,2.5,12.7,58.0,14.7,13.6,61.4,62.0,58.0,15.0
2015,NORTHVILLE,179,2,10,1,5,4,Forefront,2.4,13.3,58.7,14.6,14.0,58.1,58.2,58.7,14.9
2015,NORTHVILLE,180,1,10,1,5,10,SD4451,2.4,13.1,57.8,14.8,13.7,58.1,58.3,57.8,15.1
2015,NORTHVILLE,201,1,11,2,2,7,SD4299,2.3,12.7,57.9,15.4,13.4,57.0,57.5,57.9,15.6
2015,NORTHVILLE,202,2,11,2,2,9,SD4393,2.2,12.8,57.7,14.5,13.5,53.6,54.0,57.7,14.8
2015,NORTHVILLE,203,3,11,2,2,10,SD4451,2.0,12.8,57.9,14.4,13.6,48.0,48.4,57.9,14.7
2015,NORTHVILLE,204,4,11,2,2,11,SD4471,2.3,12.7,58.1,14.7,13.2,55.8,56.4,58.1,14.9
2015,NORTHVILLE,205,5,11,2,2,6,Prevail,2.5,12.6,57.7,14.9,13.7,61.4,62.1,57.7,15.2
2015,NORTHVILLE,206,6,11,2,2,5,MS-Stingray,2.3,13.1,55.7,14.0,13.4,57.0,57.2,55.7,14.2
2015,NORTHVILLE,207,7,11,2,2,8,SD4383,2.2,12.0,56.6,14.9,13.1,54.7,55.7,56.6,15.1
2015,NORTHVILLE,208,8,11,2,2,4,Forefront,2.1,12.6,58.5,14.9,13.7,52.5,53.0,58.5,15.2
2015,NORTHVILLE,209,8,12,2,2,2,Faller,2.0,12.4,57.7,13.8,13.7,50.3,50.9,57.7,14.1
2015,NORTHVILLE,210,7,12,2,2,3,Focus,2.4,12.8,59.3,15.4,12.9,59.2,59.7,59.3,15.6
2015,NORTHVILLE,211,6,12,2,2,12,Select,1.9,12.5,55.8,15.3,13.0,46.9,47.4,55.8,15.5
2015,NORTHVILLE,212,5,12,2,2,1,Advance,.,12.3,58.0,14.8,13.0,.,.,58.0,15.0
2015,NORTHVILLE,213,4,12,2,2,16,WB-Mayville,2.3,12.4,56.6,14.6,13.4,55.8,56.5,56.6,14.8
2015,NORTHVILLE,214,3,12,2,2,15,SY-Soren,2.4,12.3,58.1,15.1,13.5,59.2,60.0,58.1,15.4
2015,NORTHVILLE,215,2,12,2,2,13,SY-Ingmar,2.5,12.5,56.8,14.9,13.3,62.5,63.3,56.8,15.1
2015,NORTHVILLE,216,1,12,2,2,14,SY-Rowyn,.,12.7,58.4,14.3,13.3,.,.,58.4,14.5
2015,NORTHVILLE,217,1,13,2,3,6,Prevail,2.6,12.9,58.4,15.2,13.6,63.7,64.1,58.4,15.5
2015,NORTHVILLE,218,2,13,2,3,14,SY-Rowyn,2.6,12.6,57.6,14.6,13.6,64.8,65.4,57.6,14.9
2015,NORTHVILLE,219,3,13,2,3,11,SD4471,0.0,12.1,58.1,14.9,13.4,0.0,0.0,58.1,15.1
2015,NORTHVILLE,220,4,13,2,3,15,SY-Soren,2.2,12.5,58.9,15.6,13.4,54.7,55.4,58.9,15.9
2015,NORTHVILLE,221,5,13,2,3,4,Forefront,2.2,12.5,58.6,15.5,13.7,54.7,55.4,58.6,15.8
2015,NORTHVILLE,222,6,13,2,3,1,Advance,2.6,12.9,59.5,14.7,13.1,64.8,65.2,59.5,14.9
2015,NORTHVILLE,223,7,13,2,3,7,SD4299,2.5,12.5,58.6,15.7,13.4,61.4,62.1,58.6,16.0
2015,NORTHVILLE,224,8,13,2,3,9,SD4393,2.4,12.4,57.4,15.5,13.3,59.2,59.9,57.4,15.7
2015,NORTHVILLE,225,8,14,2,3,12,Select,2.4,12.3,59.1,15.3,12.8,58.1,58.9,59.1,15.4
2015,NORTHVILLE,226,7,14,2,3,16,WB-Mayville,.,.,.,.,.,.,.,.,.
2015,NORTHVILLE,227,6,14,2,3,5,MS-Stingray,2.8,13.0,55.8,13.5,13.5,69.2,69.6,55.8,13.7
2015,NORTHVILLE,228,5,14,2,3,8,SD4383,2.6,11.6,56.5,15.4,12.7,63.7,65.1,56.5,15.5
2015,NORTHVILLE,229,4,14,2,3,2,Faller,2.6,12.0,57.7,14.7,13.2,64.8,65.9,57.7,14.9
2015,NORTHVILLE,230,3,14,2,3,3,Focus,2.5,12.6,59.2,15.3,12.7,62.5,63.2,59.2,15.4
2015,NORTHVILLE,231,2,14,2,3,13,SY-Ingmar,2.8,12.5,57.3,15.6,13.5,68.1,68.9,57.3,15.9
2015,NORTHVILLE,232,1,14,2,3,10,SD4451,2.3,12.6,58.1,15.7,13.4,55.8,56.4,58.1,16.0
2015,NORTHVILLE,233,1,15,2,4,8,SD4383,2.4,12.0,56.6,14.8,13.0,60.3,61.3,56.6,15.0
2015,NORTHVILLE,234,2,15,2,4,4,Forefront,2.4,12.1,58.4,15.2,13.3,58.1,59.0,58.4,15.4
2015,NORTHVILLE,235,3,15,2,4,12,Select,2.5,12.3,58.8,15.0,13.1,62.5,63.4,58.8,15.2
2015,NORTHVILLE,236,4,15,2,4,9,SD4393,2.6,12.5,58.4,15.2,13.4,63.7,64.4,58.4,15.4
2015,NORTHVILLE,237,5,15,2,4,10,SD4451,2.2,12.2,59.0,15.3,13.5,54.7,55.5,59.0,15.6
2015,NORTHVILLE,238,6,15,2,4,2,Faller,.,12.0,57.6,14.1,13.8,.,.,57.6,14.4
2015,NORTHVILLE,239,7,15,2,4,3,Focus,2.2,12.8,60.1,15.2,13.2,53.6,54.0,60.1,15.4
2015,NORTHVILLE,240,8,15,2,4,5,MS-Stingray,.,12.8,57.8,13.4,13.5,.,.,57.8,13.6
2015,NORTHVILLE,241,8,16,2,4,16,WB-Mayville,2.7,11.8,57.2,15.8,13.2,67.0,68.3,57.2,16.0
2015,NORTHVILLE,242,7,16,2,4,15,SY-Soren,2.6,12.4,58.9,15.6,13.4,64.8,65.6,58.9,15.9
2015,NORTHVILLE,243,6,16,2,4,7,SD4299,2.7,12.3,57.8,15.3,13.4,65.9,66.8,57.8,15.5
2015,NORTHVILLE,244,5,16,2,4,6,Prevail,2.6,12.4,58.2,14.7,13.4,64.8,65.6,58.2,14.9
2015,NORTHVILLE,245,4,16,2,4,13,SY-Ingmar,2.6,12.2,58.2,15.4,13.4,64.8,65.7,58.2,15.6
2015,NORTHVILLE,246,3,16,2,4,1,Advance,2.9,12.2,59.8,14.5,13.0,71.5,72.5,59.8,14.7
2015,NORTHVILLE,247,2,16,2,4,14,SY-Rowyn,2.7,11.7,58.9,14.4,13.0,65.9,67.3,58.9,14.6
2015,NORTHVILLE,248,1,16,2,4,11,SD4471,2.6,12.0,57.5,14.6,12.7,64.8,65.9,57.5,14.7
2015,NORTHVILLE,249,1,17,2,1,9,SD4393,2.3,12.2,58.5,14.6,13.2,55.8,56.7,58.5,14.8
2015,NORTHVILLE,250,2,17,2,1,13,SY-Ingmar,2.4,12.5,59.1,15.0,13.5,59.2,59.9,59.1,15.3
2015,NORTHVILLE,251,3,17,2,1,14,SY-Rowyn,2.6,12.2,59.1,13.7,13.4,63.7,64.6,59.1,13.9
2015,NORTHVILLE,252,4,17,2,1,2,Faller,2.5,12.7,58.2,13.2,13.5,61.4,62.0,58.2,13.4
2015,NORTHVILLE,253,5,17,2,1,4,Forefront,2.1,12.3,58.7,14.8,13.4,52.5,53.2,58.7,15.0
2015,NORTHVILLE,254,6,17,2,1,6,Prevail,2.5,12.4,58.1,13.9,13.6,61.4,62.2,58.1,14.2
2015,NORTHVILLE,255,7,17,2,1,1,Advance,2.4,12.5,59.1,13.7,13.1,60.3,61.0,59.1,13.9
2015,NORTHVILLE,256,8,17,2,1,7,SD4299,2.4,12.2,58.4,15.6,13.4,58.1,58.9,58.4,15.9
2015,NORTHVILLE,257,8,18,2,1,12,Select,2.4,12.3,60.4,14.7,13.0,60.3,61.1,60.4,14.9
2015,NORTHVILLE,258,7,18,2,1,3,Focus,2.4,12.8,60.7,14.3,13.3,60.3,60.8,60.7,14.5
2015,NORTHVILLE,259,6,18,2,1,10,SD4451,2.2,12.0,58.3,14.4,13.4,54.7,55.7,58.3,14.6
2015,NORTHVILLE,260,5,18,2,1,8,SD4383,2.5,11.8,57.7,14.8,12.9,61.4,62.6,57.7,15.0
2015,NORTHVILLE,261,4,18,2,1,5,MS-Stingray,2.5,12.8,57.0,12.6,13.3,62.5,63.0,57.0,12.8
2015,NORTHVILLE,262,3,18,2,1,11,SD4471,2.3,12.6,57.5,14.6,13.3,57.0,57.5,57.5,14.8
2015,NORTHVILLE,263,2,18,2,1,16,WB-Mayville,2.5,12.1,57.0,14.1,13.2,61.4,62.4,57.0,14.3
2015,NORTHVILLE,264,1,18,2,1,15,SY-Soren,2.4,11.7,58.0,15.1,13.3,59.2,60.4,58.0,15.3
2015,NORTHVILLE,265,1,19,2,5,1,Advance,2.4,12.4,59.2,14.1,13.1,60.3,61.1,59.2,14.3
2015,NORTHVILLE,266,2,19,2,5,6,Prevail,2.4,12.1,58.0,14.6,13.1,59.2,60.1,58.0,14.8
2015,NORTHVILLE,267,3,19,2,5,15,SY-Soren,2.4,12.0,58.5,15.8,13.2,59.2,60.2,58.5,16.0
2015,NORTHVILLE,268,4,19,2,5,2,Faller,2.7,12.0,58.0,13.9,13.6,67.0,68.2,58.0,14.2
2015,NORTHVILLE,269,5,19,2,5,9,SD4393,2.4,12.3,58.2,15.0,12.9,60.3,61.1,58.2,15.2
2015,NORTHVILLE,270,6,19,2,5,12,Select,2.1,12.3,58.7,14.4,12.7,52.5,53.2,58.7,14.5
2015,NORTHVILLE,271,7,19,2,5,7,SD4299,2.4,12.1,57.9,15.5,13.1,58.1,59.0,57.9,15.7
2015,NORTHVILLE,272,8,19,2,5,13,SY-Ingmar,.,12.5,56.4,15.4,13.8,.,.,56.4,15.7
2015,NORTHVILLE,273,8,20,2,5,5,MS-Stingray,3.1,12.7,58.4,13.1,13.3,77.1,77.8,58.4,13.3
2015,NORTHVILLE,274,7,20,2,5,11,SD4471,2.6,11.9,57.4,15.0,12.9,64.8,66.0,57.4,15.2
2015,NORTHVILLE,275,6,20,2,5,3,Focus,2.6,12.6,59.8,14.8,13.0,63.7,64.3,59.8,15.0
2015,NORTHVILLE,276,5,20,2,5,4,Forefront,2.4,12.0,58.6,15.1,13.3,60.3,61.3,58.6,15.3
2015,NORTHVILLE,277,4,20,2,5,16,WB-Mayville,2.8,12.0,57.5,15.9,13.2,69.2,70.4,57.5,16.1
2015,NORTHVILLE,278,3,20,2,5,10,SD4451,2.4,12.2,58.2,16.0,13.5,60.3,61.2,58.2,16.3
2015,NORTHVILLE,279,2,20,2,5,14,SY-Rowyn,2.5,12.1,58.4,14.8,13.3,61.4,62.4,58.4,15.0
2015,NORTHVILLE,280,1,20,2,5,8,SD4383,.,12.2,57.6,15.2,13.0,.,.,57.6,15.4
2015,NORTHVILLE,301,1,21,3,1,1,Advance,.,12.4,58.3,13.8,13.1,.,.,58.3,14.0
2015,NORTHVILLE,302,2,21,3,1,8,SD4383,2.8,11.8,57.9,15.0,13.2,68.1,69.5,57.9,15.2
2015,NORTHVILLE,303,3,21,3,1,3,Focus,2.4,12.3,59.7,15.7,12.9,58.1,58.9,59.7,15.9
2015,NORTHVILLE,304,4,21,3,1,11,SD4471,2.4,11.8,58.0,14.8,12.8,58.1,59.2,58.0,14.9
2015,NORTHVILLE,305,5,21,3,1,16,WB-Mayville,.,11.7,56.5,13.4,13.0,.,.,56.5,13.6
2015,NORTHVILLE,306,6,21,3,1,14,SY-Rowyn,2.4,12.1,58.7,14.2,13.3,60.3,61.3,58.7,14.4
2015,NORTHVILLE,307,7,21,3,1,10,SD4451,2.1,12.1,58.8,15.2,13.6,51.4,52.2,58.8,15.5
2015,NORTHVILLE,308,8,21,3,1,2,Faller,.,12.8,57.3,14.4,13.5,.,.,57.3,14.6
2015,NORTHVILLE,309,8,22,3,1,12,Select,2.5,12.4,59.5,15.2,13.0,62.5,63.3,59.5,15.4
2015,NORTHVILLE,310,7,22,3,1,7,SD4299,2.4,12.0,57.6,15.3,13.3,59.2,60.2,57.6,15.5
2015,NORTHVILLE,311,6,22,3,1,15,SY-Soren,2.4,12.0,57.7,15.2,13.4,58.1,59.1,57.7,15.4
2015,NORTHVILLE,312,5,22,3,1,6,Prevail,2.6,12.5,58.4,14.8,13.7,64.8,65.5,58.4,15.1
2015,NORTHVILLE,313,4,22,3,1,4,Forefront,2.1,11.8,59.3,15.0,13.2,51.4,52.4,59.3,15.2
2015,NORTHVILLE,314,3,22,3,1,13,SY-Ingmar,2.5,11.7,57.0,15.5,12.7,62.5,63.8,57.0,15.6
2015,NORTHVILLE,315,2,22,3,1,9,SD4393,2.4,11.9,57.2,15.4,12.9,58.1,59.1,57.2,15.6
2015,NORTHVILLE,316,1,22,3,1,5,MS-Stingray,2.1,12.2,55.3,12.1,12.6,52.5,53.3,55.3,12.2
2015,NORTHVILLE,317,1,23,3,2,1,Advance,2.0,11.2,58.7,13.9,12.3,48.0,49.3,58.7,13.9
2015,NORTHVILLE,318,2,23,3,2,2,Faller,2.3,11.7,56.8,13.8,13.1,57.0,58.1,56.8,14.0
2015,NORTHVILLE,319,3,23,3,2,7,SD4299,2.2,11.6,58.1,15.3,13.1,53.6,54.8,58.1,15.5
2015,NORTHVILLE,320,4,23,3,2,11,SD4471,1.9,11.2,57.6,14.8,12.6,46.9,48.1,57.6,14.9
2015,NORTHVILLE,321,5,23,3,2,12,Select,2.0,11.8,58.8,14.0,12.6,49.1,50.1,58.8,14.1
2015,NORTHVILLE,322,6,23,3,2,8,SD4383,2.2,11.7,57.6,14.7,12.5,54.7,55.9,57.6,14.8
2015,NORTHVILLE,323,7,23,3,2,13,SY-Ingmar,2.1,12.0,57.6,15.2,13.1,51.4,52.3,57.6,15.4
2015,NORTHVILLE,324,8,23,3,2,10,SD4451,1.8,11.7,58.1,15.8,13.2,44.7,45.6,58.1,16.0
2015,NORTHVILLE,325,8,24,3,2,15,SY-Soren,2.2,11.6,57.8,16.0,12.8,53.6,54.8,57.8,16.1
2015,NORTHVILLE,326,7,24,3,2,16,WB-Mayville,2.2,11.1,57.1,14.7,12.8,54.7,56.2,57.1,14.8
2015,NORTHVILLE,327,6,24,3,2,9,SD4393,2.4,11.5,58.4,15.5,12.6,59.2,60.6,58.4,15.6
2015,NORTHVILLE,328,5,24,3,2,3,Focus,2.3,12.0,59.6,14.9,12.8,57.0,57.9,59.6,15.0
2015,NORTHVILLE,329,4,24,3,2,14,SY-Rowyn,2.3,11.6,58.1,14.2,13.0,57.0,58.2,58.1,14.4
2015,NORTHVILLE,330,3,24,3,2,5,MS-Stingray,2.6,12.1,56.8,12.8,12.9,63.7,64.7,56.8,12.9
2015,NORTHVILLE,331,2,24,3,2,4,Forefront,2.2,11.9,58.4,14.9,12.9,53.6,54.6,58.4,15.1
2015,NORTHVILLE,332,1,24,3,2,6,Prevail,2.7,11.9,58.5,14.6,13.0,67.0,68.2,58.5,14.8
2015,NORTHVILLE,333,1,25,3,5,8,SD4383,2.7,11.2,56.6,15.6,12.3,65.9,67.6,56.6,15.7
2015,NORTHVILLE,334,2,25,3,5,3,Focus,.,11.5,60.0,15.1,12.5,.,.,60.0,15.2
2015,NORTHVILLE,335,3,25,3,5,11,SD4471,.,11.5,57.7,14.9,12.5,.,.,57.7,15.0
2015,NORTHVILLE,336,4,25,3,5,14,SY-Rowyn,2.2,11.5,58.5,14.4,12.9,54.7,56.0,58.5,14.5
2015,NORTHVILLE,337,5,25,3,5,13,SY-Ingmar,2.5,11.5,58.5,15.5,13.3,62.5,64.0,58.5,15.7
2015,NORTHVILLE,338,6,25,3,5,4,Forefront,2.3,11.5,58.9,15.1,12.8,55.8,57.1,58.9,15.2
2015,NORTHVILLE,339,7,25,3,5,16,WB-Mayville,2.4,11.4,57.5,15.1,12.8,60.3,61.8,57.5,15.2
2015,NORTHVILLE,340,8,25,3,5,2,Faller,2.4,11.8,58.6,14.4,13.6,59.2,60.4,58.6,14.7
2015,NORTHVILLE,341,8,26,3,5,10,SD4451,2.3,11.4,58.7,16.2,13.1,57.0,58.3,58.7,16.4
2015,NORTHVILLE,342,7,26,3,5,9,SD4393,2.5,11.4,58.2,15.6,12.6,61.4,62.9,58.2,15.7
2015,NORTHVILLE,343,6,26,3,5,7,SD4299,2.6,11.3,58.2,15.7,13.0,64.8,66.4,58.2,15.9
2015,NORTHVILLE,344,5,26,3,5,15,SY-Soren,2.5,11.5,58.0,16.1,12.9,62.5,64.0,58.0,16.3
2015,NORTHVILLE,345,4,26,3,5,12,Select,2.4,11.9,59.1,15.2,12.8,60.3,61.4,59.1,15.3
2015,NORTHVILLE,346,3,26,3,5,1,Advance,2.8,11.8,58.9,14.6,12.7,69.2,70.6,58.9,14.7
2015,NORTHVILLE,347,2,26,3,5,5,MS-Stingray,2.9,12.0,57.4,13.0,13.0,71.5,72.7,57.4,13.1
2015,NORTHVILLE,348,1,26,3,5,6,Prevail,2.8,11.9,57.9,14.7,13.0,68.1,69.4,57.9,14.9
2015,NORTHVILLE,349,1,27,3,4,4,Forefront,2.2,12.1,58.0,14.7,13.1,54.7,55.6,58.0,14.9
2015,NORTHVILLE,350,2,27,3,4,10,SD4451,2.0,11.8,58.4,15.0,13.2,49.1,50.1,58.4,15.2
2015,NORTHVILLE,351,3,27,3,4,16,WB-Mayville,2.2,11.7,57.6,14.6,12.8,54.7,55.9,57.6,14.7
